           2           1  3.685700119698529E-003 -5.000000000000000E-003
           4           2  3.641978753491531E-003 -4.972948160546358E-003
           3           2  3.663459826672708E-003 -4.972409455269776E-003
           4           3  3.640647259589486E-003 -4.946112211343237E-003
           1           1  3.708340860630293E-003 -5.000000000000000E-003
           3           4  3.661745011200791E-003 -4.919517501201134E-003
           2           4  3.684763895242853E-003 -4.919744083083269E-003
           4          46  3.708340860630293E-003 -4.960044356640672E-003
           3           3  3.662697545143407E-003 -4.945778019049597E-003
           4          46  3.708340860630293E-003 -4.960044356640672E-003
           3           2  3.663459826672708E-003 -4.972409455269776E-003
           3           3  3.662697545143407E-003 -4.945778019049597E-003
           4           3  3.640647259589486E-003 -4.946112211343237E-003
           1           4  3.708349695013127E-003 -4.920083238648892E-003
           3           5  3.660005066499136E-003 -4.893290883402723E-003
           2           5  3.682411625728729E-003 -4.893696627041710E-003
           1           5  3.706318454858914E-003 -4.893900520317618E-003
           2           4  3.684763895242853E-003 -4.919744083083269E-003
           1           4  3.708349695013127E-003 -4.920083238648892E-003
           2           4  3.684763895242853E-003 -4.919744083083269E-003
           3           4  3.661745011200791E-003 -4.919517501201134E-003
           4           4  3.639420074731458E-003 -4.919588509576840E-003
           1           5  3.706318454858914E-003 -4.893900520317618E-003
           3           6  3.657680271267731E-003 -4.867111266347947E-003
           3           7  3.654789549339610E-003 -4.840692878089138E-003
           2         310  3.700022202572816E-003 -4.828266599836865E-003
           2           5  3.682411625728729E-003 -4.893696627041710E-003
           2          20  3.300120120235083E-003 -3.814790207698071E-003
           4          48  3.243374194512499E-003 -3.821213153917075E-003
           5          48  3.224450426001193E-003 -3.819810419606627E-003
           6          49  3.187452817905620E-003 -3.800747743822032E-003
           1           7  3.272357495014337E-003 -3.770178866576298E-003
           2          17  3.207146448944866E-003 -3.747368791242474E-003
           5          51  3.244594058396097E-003 -3.725565373132004E-003
           1          19  3.188380235928788E-003 -3.750240512626958E-003
           6          50  3.173444002971874E-003 -3.780568805188937E-003
           2           9  3.695750955574783E-003 -4.795410540628823E-003
           3           8  3.652292640445645E-003 -4.814828967365286E-003
           3           9  3.649002051276541E-003 -4.788888866500715E-003
           4           9  3.625887976924044E-003 -4.788791792007244E-003
           1          10  3.691479714682623E-003 -4.762554505657336E-003
           3          11  3.640702862921691E-003 -4.736786192953679E-003
           3          13  3.630823110707953E-003 -4.684568660149318E-003
           1          11  3.687256125573579E-003 -4.736337546636709E-003
           2          10  3.667971731561048E-003 -4.762449928025334E-003
           1          10  3.691479714682623E-003 -4.762554505657336E-003
           3           8  3.652292640445645E-003 -4.814828967365286E-003
           2          10  3.667971731561048E-003 -4.762449928025334E-003
           3          10  3.645086181004702E-003 -4.762851744112540E-003
